EntrezA	EntrezB	num_dbs	dbs
10096	10097	3	dip,pid2,wan
10096	10095	3	dip,pid2,wan
10096	10109	3	dip,pid2,wan
10096	10094	3	dip,pid2,wan
10096	10093	3	dip,pid2,wan
10096	10092	3	dip,pid2,wan
10097	10095	3	dip,pid2,wan
10097	10109	3	dip,pid2,wan
10097	10094	3	dip,pid2,wan
10097	10093	3	dip,pid2,wan
10097	10092	3	dip,pid2,wan
10095	10109	3	dip,pid2,wan
10095	10094	3	dip,pid2,wan
10095	10093	3	dip,pid2,wan
10095	10092	3	dip,pid2,wan
10109	10094	3	dip,pid2,wan
10109	10093	3	dip,pid2,wan
10109	10092	3	dip,pid2,wan
10094	10093	3	dip,pid2,wan
10094	10092	3	dip,pid2,wan
10093	10092	3	dip,pid2,wan
891	983	3	dip,pid2,wan
983	9133	3	dip,pid2,wan
983	1163	3	dip,pid2,wan
1163	1017	3	dip,pid2,wan
1107	54815	3	dip,pid2,wan
1107	57459	3	dip,pid2,wan
1107	9219	3	dip,pid2,wan
54815	57459	3	dip,pid2,wan
54815	9219	3	dip,pid2,wan
57459	9219	3	dip,pid2,wan
9219	1108	3	dip,pid2,wan
9219	3065	3	dip,pid2,wan
9219	3066	3	dip,pid2,wan
9219	5928	3	dip,pid2,wan
1108	3065	3	dip,pid2,wan
1108	3066	3	dip,pid2,wan
1108	5928	3	dip,pid2,wan
3065	3066	3	dip,pid2,wan
3065	23028	3	dip,pid2,wan
3065	53615	3	dip,pid2,wan
3065	9112	3	dip,pid2,wan
3065	5928	3	dip,pid2,wan
3065	5931	3	dip,pid2,wan
3065	25942	3	dip,pid2,wan
3066	5928	3	dip,pid2,wan
3066	5931	3	dip,pid2,wan
5928	5931	3	dip,pid2,wan
1398	1793	3	dip,pid2,wan
1495	1499	3	dip,pid2,wan
1973	1981	3	dip,pid2,wan
1981	1977	3	dip,pid2,wan
1977	1978	3	dip,pid2,wan
6921	6923	3	dip,pid2,wan
55763	55770	3	dip,pid2,wan
55763	60412	3	dip,pid2,wan
60412	23265	3	dip,pid2,wan
3611	3987	3	dip,pid2,wan
3678	3688	3	dip,pid2,wan
3688	3685	3	dip,pid2,wan
9493	29127	3	dip,pid2,wan
4171	4176	3	dip,pid2,wan
4361	10111	3	dip,pid2,wan
10111	4683	3	dip,pid2,wan
10592	23397	3	dip,pid2,wan
10592	10051	3	dip,pid2,wan
8936	10787	3	dip,pid2,wan
10787	10163	3	dip,pid2,wan
5291	5295	3	dip,pid2,wan
5515	5518	3	dip,pid2,wan
5515	5520	3	dip,pid2,wan
5518	5520	3	dip,pid2,wan
5591	7520	3	dip,pid2,wan
7520	2547	3	dip,pid2,wan
10419	79084	3	dip,pid2,wan
5829	7414	3	dip,pid2,wan
5903	5905	3	dip,pid2,wan
5982	5983	3	dip,pid2,wan
5982	5984	3	dip,pid2,wan
5982	5985	3	dip,pid2,wan
5983	5984	3	dip,pid2,wan
5983	5985	3	dip,pid2,wan
5984	5985	3	dip,pid2,wan
6117	6118	3	dip,pid2,wan
6240	6241	3	dip,pid2,wan
8607	10856	3	dip,pid2,wan
6597	6598	3	dip,pid2,wan
6597	6599	3	dip,pid2,wan
6597	6601	3	dip,pid2,wan
6597	6602	3	dip,pid2,wan
6597	6605	3	dip,pid2,wan
6598	6605	3	dip,pid2,wan
6599	6601	3	dip,pid2,wan
6599	6602	3	dip,pid2,wan
6599	6605	3	dip,pid2,wan
6601	6602	3	dip,pid2,wan
8243	9126	3	dip,pid2,wan
7329	7341	3	dip,pid2,wan
7014	54386	3	dip,pid2,wan
7334	7335	3	dip,pid2,wan
7529	7531	3	dip,pid2,wan
7529	7532	3	dip,pid2,wan
7529	7533	3	dip,pid2,wan
7529	7534	3	dip,pid2,wan
7531	7532	3	dip,pid2,wan
7531	7533	3	dip,pid2,wan
7532	7533	3	dip,pid2,wan
7532	7534	3	dip,pid2,wan
7533	7534	3	dip,pid2,wan
