EntrezA	EntrezB	num_dbs	dbs
2	351	1	dip
351	43	1	dip
351	333	1	dip
351	334	1	dip
351	348	1	dip
351	54103	1	dip
351	4804	1	dip
351	5663	1	dip
351	27242	1	dip
351	7276	1	dip
19	821	1	dip
19	1756	1	dip
19	2316	1	dip
19	3832	1	dip
19	10558	1	dip
19	7402	1	dip
821	1756	1	dip
821	2316	1	dip
821	3832	1	dip
821	6513	1	dip
821	10558	1	dip
821	7402	1	dip
1756	2316	1	dip
1756	3832	1	dip
1756	10558	1	dip
1756	7402	1	dip
2316	367	1	dip
2316	83478	1	dip
2316	846	1	dip
2316	1058	1	dip
2316	10521	1	dip
2316	1654	1	dip
2316	1655	1	dip
2316	1813	1	dip
2316	1814	1	dip
2316	1832	1	dip
2316	1973	1	dip
2316	55355	1	dip
2316	3192	1	dip
2316	3674	1	dip
2316	3690	1	dip
2316	3695	1	dip
2316	3832	1	dip
2316	4008	1	dip
2316	4869	1	dip
2316	5058	1	dip
2316	9533	1	dip
2316	5591	1	dip
2316	5663	1	dip
2316	5928	1	dip
2316	5931	1	dip
2316	8607	1	dip
2316	10856	1	dip
2316	8805	1	dip
2316	7402	1	dip
2316	7520	1	dip
2316	2547	1	dip
3832	1739	1	dip
3832	5728	1	dip
3832	7402	1	dip
10558	94103	1	dip
10558	9517	1	dip
10558	55304	1	dip
10558	171546	1	dip
10558	165679	1	dip
7402	5478	1	dip
7402	5530	1	dip
7402	6640	1	dip
7402	6641	1	dip
287	6833	1	dip
287	3767	1	dip
287	6546	1	dip
6833	3767	1	dip
23	160	1	dip
23	28974	1	dip
23	1105	1	dip
23	9276	1	dip
23	57062	1	dip
23	1660	1	dip
23	23028	1	dip
23	3796	1	dip
23	4522	1	dip
23	2631	1	dip
23	5332	1	dip
23	5052	1	dip
23	6421	1	dip
23	10592	1	dip
23	6428	1	dip
23	22803	1	dip
160	28974	1	dip
160	1105	1	dip
160	9276	1	dip
160	57062	1	dip
160	1660	1	dip
160	23028	1	dip
160	3796	1	dip
160	4522	1	dip
160	2631	1	dip
160	5332	1	dip
160	5052	1	dip
160	6421	1	dip
160	10592	1	dip
160	6428	1	dip
160	22803	1	dip
28974	1105	1	dip
28974	9276	1	dip
28974	57062	1	dip
28974	1660	1	dip
28974	23028	1	dip
28974	3796	1	dip
28974	4522	1	dip
28974	2631	1	dip
28974	5332	1	dip
28974	5052	1	dip
28974	6421	1	dip
28974	10592	1	dip
28974	6428	1	dip
28974	22803	1	dip
1105	9276	1	dip
1105	57062	1	dip
1105	1660	1	dip
1105	10919	1	dip
1105	23028	1	dip
1105	3796	1	dip
1105	4522	1	dip
1105	2631	1	dip
1105	5332	1	dip
1105	5052	1	dip
1105	6421	1	dip
1105	10592	1	dip
1105	6428	1	dip
1105	22803	1	dip
9276	8678	1	dip
9276	57062	1	dip
9276	1660	1	dip
9276	23028	1	dip
9276	3796	1	dip
9276	4522	1	dip
9276	51594	1	dip
9276	4790	1	dip
9276	2631	1	dip
9276	5289	1	dip
9276	5332	1	dip
9276	5052	1	dip
9276	60561	1	dip
9276	6421	1	dip
9276	51100	1	dip
9276	10592	1	dip
9276	6428	1	dip
9276	53407	1	dip
9276	7405	1	dip
9276	22803	1	dip
9276	9183	1	dip
57062	1660	1	dip
57062	23028	1	dip
57062	3796	1	dip
57062	4522	1	dip
57062	2631	1	dip
57062	5332	1	dip
57062	5052	1	dip
57062	6421	1	dip
57062	10592	1	dip
57062	6428	1	dip
57062	22803	1	dip
1660	26523	1	dip
1660	27161	1	dip
1660	23405	1	dip
1660	23028	1	dip
1660	3796	1	dip
1660	4522	1	dip
1660	2631	1	dip
1660	5332	1	dip
1660	5052	1	dip
1660	6421	1	dip
1660	10592	1	dip
1660	6428	1	dip
1660	7514	1	dip
1660	22803	1	dip
23028	367	1	dip
23028	64919	1	dip
23028	863	1	dip
23028	1107	1	dip
23028	1108	1	dip
23028	10919	1	dip
23028	3065	1	dip
23028	3066	1	dip
23028	8350	1	dip
23028	8358	1	dip
23028	8352	1	dip
23028	8351	1	dip
23028	8353	1	dip
23028	8968	1	dip
23028	8355	1	dip
23028	8357	1	dip
23028	8354	1	dip
23028	8356	1	dip
23028	3796	1	dip
23028	8861	1	dip
23028	4066	1	dip
23028	4522	1	dip
23028	2631	1	dip
23028	51317	1	dip
23028	5585	1	dip
23028	5332	1	dip
23028	5052	1	dip
23028	5579	1	dip
23028	5925	1	dip
23028	5931	1	dip
23028	23186	1	dip
23028	861	1	dip
23028	6421	1	dip
23028	10592	1	dip
23028	6615	1	dip
23028	6428	1	dip
23028	23635	1	dip
23028	23648	1	dip
23028	6774	1	dip
23028	6886	1	dip
23028	6938	1	dip
23028	6929	1	dip
23028	7157	1	dip
23028	22803	1	dip
3796	4522	1	dip
3796	2631	1	dip
3796	5332	1	dip
3796	5052	1	dip
3796	6421	1	dip
3796	10592	1	dip
3796	6428	1	dip
3796	22803	1	dip
